REGION,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,TOTAL
National Capital Region (NCR),"2,306","1,071",271,279,443,572,"2,163","1,203",560,530,891,"10,289"
Cordillera Administrative Region (CAR),19,23,18,20,39,77,77,105,64,59,127,628
Region I (Ilocos),363,150,159,147,317,433,585,321,105,64,233,2877
Region II (Cagayan Valley),335,207,149,49,68,199,191,324,240,160,543,2465
Region III (Central Luzon),"1,319","1,705",369,332,311,234,499,456,231,141,418,6015
Region IV-A (CALABARZON),411,282,56,55,137,137,458,311,267,124,473,2711
Region IV-B (MIMAROPA),18,18,19,55,33,25,58,28,30,38,110,432
Region V (Bicol),205,97,40,57,60,105,134,155,132,148,208,1341
Region VI (Western Visayas),"1,216",462,202,195,197,660,690,331,208,414,642,5217
Region VII (Central Visayas),137,73,30,34,28,173,101,60,62,140,252,1090
Region VIII (Eastern Visayas),81,46,28,45,17,113,85,30,9,26,108,588
Region IX (Zamboanga Peninsula),50,95,38,37,19,64,93,36,17,34,208,691
Region X (Northern Mindanao),961,39,67,47,57,88,55,47,24,21,88,1494
Region XI (Davao),169,156,64,45,41,165,128,86,84,132,227,1297
Region XII (SOCCSKSARGEN),7,18,6,7,7,8,9,9,1,4,36,112
Region XIII (Caraga),36,25,42,12,20,51,198,20,8,41,121,574
BARMM (Bangsamoro Autonomous Region in Muslim Mindanao),3,4,4,8,2,9,3,9,1,1,18,62
